iter,cluster_nr,p_clust,diff_clust,size_clust,method,target_col,K,N_k,N,y_dgp,x_dgp,d,binary_y,randomize_y,fit_train,n_iter_hbac,min_cluster_size,val_frac,bonf_correct
3,3,2.7575027351083925,-0.07245645039131532,68,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
3,4,2.144122127036554,0.06284775383696184,122,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
3,5,3.9101827605401276,-0.04888888888888887,100,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
3,6,5.438231725428585,-0.04518880253112317,62,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
3,7,5.366239668128832,-0.03262502305888143,131,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
3,8,9.912446587180524,0.006651884700665189,98,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
3,9,1.2868933118734827,0.09626436781609199,72,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
3,10,2.8024192622939226,0.06566724914926886,83,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
4,0,5.842026307783858,-0.067775514822358,18,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
4,1,2.5715057353813626,-0.044422978161453575,206,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
4,2,2.67683216739868,0.08793120588527681,42,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
4,3,2.547333785148285,0.06940934816982158,73,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
4,4,1.711323088876425,-0.1065994674781286,44,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
4,5,8.653844256827126,-0.008090483534918924,127,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
4,6,8.754996056623279,0.012267021681247603,44,hbac,y,10,200,1000,constant,constant,10,True,False,True,10,5,0.5,True
